id,temperature_bmp,pressure,temperature_dht,humidity,timestamp
1782,24.23,1000.11,23.2,49,04/03/25 14:02
1783,24.23,1000.14,23.2,49,04/03/25 14:02
1784,24.23,1000.15,23.2,49,04/03/25 14:02
1785,24.23,1000.13,23.2,49,04/03/25 14:02
1786,24.23,1000.13,23.2,49,04/03/25 14:02
1787,24.24,1000.14,23.2,49,04/03/25 14:02
1788,24.23,1000.11,23.2,49,04/03/25 14:02
1789,24.23,1000.11,23.2,49,04/03/25 14:02
1790,24.23,1000.09,23.2,49,04/03/25 14:03
1791,24.24,1000.14,23.2,49,04/03/25 14:03
1792,24.23,1000.11,23.2,49,04/03/25 14:03
1793,24.23,1000.1,23.2,49,04/03/25 14:03
1794,24.23,1000.11,23.2,49,04/03/25 14:03
1795,24.24,1000.1,23.2,49,04/03/25 14:03
1796,24.23,1000.08,23.2,49,04/03/25 14:03
1797,24.24,1000.11,23.2,49,04/03/25 14:03
1798,24.23,1000.1,23.2,49,04/03/25 14:03
1799,24.23,1000.07,23.2,49,04/03/25 14:03
1800,24.23,1000.09,23.2,49,04/03/25 14:03
1801,24.23,1000.08,23.2,49,04/03/25 14:04
1802,24.24,1000.09,23.2,49,04/03/25 14:04
1803,24.24,1000.09,23.2,49,04/03/25 14:04
1804,24.23,1000.08,23.2,49,04/03/25 14:04
1805,24.24,1000.07,23.2,49,04/03/25 14:04
1806,24.24,1000.09,23.2,48,04/03/25 14:04
1807,24.24,1000.06,23.2,48,04/03/25 14:04
1808,24.24,1000.05,23.2,48,04/03/25 14:04
1809,24.24,1000.09,23.2,48,04/03/25 14:04
1810,24.24,1000.06,23.2,48,04/03/25 14:04
1811,24.23,1000.06,23.2,48,04/03/25 14:04
1812,24.24,1000.04,23.2,48,04/03/25 14:04
1813,24.23,1000.05,23.2,48,04/03/25 14:05
1814,24.24,1000.05,23.2,48,04/03/25 14:05
1815,24.24,1000.03,23.2,48,04/03/25 14:05
1816,24.24,1000.06,23.2,48,04/03/25 14:05
1817,24.24,1000.05,23.2,48,04/03/25 14:05
1818,24.24,1000.08,23.2,48,04/03/25 14:05
1819,24.24,1000.07,23.2,48,04/03/25 14:05
1820,24.24,1000.05,23.2,48,04/03/25 14:05
1821,24.24,1000.05,23.2,48,04/03/25 14:05
1822,24.24,1000.03,23.2,48,04/03/25 14:05
1823,24.24,1000.06,23.2,48,04/03/25 14:05
1824,24.25,1000.07,23.2,48,04/03/25 14:05
1825,24.25,1000.02,23.2,48,04/03/25 14:06
1826,24.25,1000.05,23.2,48,04/03/25 14:06
1827,24.25,1000.03,23.2,48,04/03/25 14:06
1828,24.25,1000.04,23.2,48,04/03/25 14:06
1829,24.25,1000.03,23.2,48,04/03/25 14:06
1830,24.25,1000.01,23.2,48,04/03/25 14:06
1831,24.25,1000.04,23.2,48,04/03/25 14:06
1832,24.25,1000.06,23.2,48,04/03/25 14:06
1833,24.25,1000.05,23.2,48,04/03/25 14:06
1834,24.24,1000.06,23.2,48,04/03/25 14:06
1835,24.25,1000.05,23.2,48,04/03/25 14:06
1836,24.25,1000.06,23.2,48,04/03/25 14:06
1837,24.25,1000.07,23.2,48,04/03/25 14:07
1838,24.25,1000.04,23.2,48,04/03/25 14:07
1839,24.25,1000.01,23.2,48,04/03/25 14:07
1840,24.25,1000.06,23.2,48,04/03/25 14:07
1841,24.25,1000.04,23.2,48,04/03/25 14:07
1842,24.25,1000.04,23.2,48,04/03/25 14:07
1843,24.25,1000.03,23.2,48,04/03/25 14:07
1844,24.25,1000.01,23.2,48,04/03/25 14:07
1845,24.26,1000.04,23.2,48,04/03/25 14:07
1846,24.25,999.986,23.2,48,04/03/25 14:07
1847,24.26,1000.03,23.2,48,04/03/25 14:07
1848,24.26,1000,23.2,48,04/03/25 14:07
1849,24.26,1000.04,23.2,48,04/03/25 14:08
1850,24.26,1000.04,23.2,48,04/03/25 14:08
1851,24.26,1000.03,23.2,48,04/03/25 14:08
1852,24.26,1000.03,23.2,48,04/03/25 14:08
1853,24.27,1000.01,23.2,48,04/03/25 14:08
1854,24.26,1000.01,23.2,48,04/03/25 14:08
1855,24.26,999.984,23.2,48,04/03/25 14:08
1856,24.26,1000.02,23.2,48,04/03/25 14:08
1857,24.26,999.998,23.2,48,04/03/25 14:08
1858,24.26,1000.03,23.2,48,04/03/25 14:08
1859,24.26,1000.01,23.2,48,04/03/25 14:08
1860,24.27,1000.02,23.2,48,04/03/25 14:08
1861,24.26,1000.01,23.2,48,04/03/25 14:09
1862,24.27,1000.03,23.2,48,04/03/25 14:09
1863,24.26,1000.02,23.2,48,04/03/25 14:09
1864,24.27,1000.05,23.2,48,04/03/25 14:09
1865,24.27,999.997,23.2,48,04/03/25 14:09
1866,24.27,1000.03,23.2,48,04/03/25 14:09
1867,24.27,999.988,23.2,48,04/03/25 14:09
1868,24.27,1000.05,23.2,48,04/03/25 14:09
1869,24.27,1000.06,23.2,48,04/03/25 14:09
1870,24.27,1000,23.2,48,04/03/25 14:09
1871,24.27,1000.01,23.2,48,04/03/25 14:09
1872,24.26,1000.02,23.2,48,04/03/25 14:09
1873,24.27,1000.01,23.2,48,04/03/25 14:10
1874,24.27,1000.04,23.2,48,04/03/25 14:10
1875,24.27,1000.05,23.2,48,04/03/25 14:10
1876,24.27,1000.02,23.2,48,04/03/25 14:10
1877,24.27,1000.01,23.2,48,04/03/25 14:10
1878,24.27,1000.03,23.2,48,04/03/25 14:10
1879,24.27,1000.05,23.2,48,04/03/25 14:10
1880,24.27,1000.01,23.2,48,04/03/25 14:10
1881,24.27,1000.04,23.2,48,04/03/25 14:10
1882,24.27,1000.01,23.2,48,04/03/25 14:10
1883,24.27,1000.04,23.2,48,04/03/25 14:10
1884,24.27,1000.05,23.2,48,04/03/25 14:10
1885,24.27,1000.03,23.2,48,04/03/25 14:11
1886,24.27,1000.02,23.2,48,04/03/25 14:11
1887,24.27,1000.03,23.2,48,04/03/25 14:11
1888,24.27,1000.07,23.2,48,04/03/25 14:11
1889,24.27,1000.02,23.2,48,04/03/25 14:11
1890,24.27,1000.05,23.2,48,04/03/25 14:11
1891,24.27,1000.04,23.2,48,04/03/25 14:11
1892,24.27,1000.04,23.2,48,04/03/25 14:11
1893,24.28,1000.04,23.2,48,04/03/25 14:11
1894,24.28,1000.06,23.2,48,04/03/25 14:11
1895,24.27,1000.01,23.2,48,04/03/25 14:11
1896,24.27,1000.05,23.2,48,04/03/25 14:11
1897,24.27,1000.01,23.2,48,04/03/25 14:12
1898,24.28,1000.05,23.2,48,04/03/25 14:12
1899,24.27,1000.06,23.2,48,04/03/25 14:12
1900,24.28,1000.03,23.2,48,04/03/25 14:12
1901,24.28,1000.04,23.2,48,04/03/25 14:12
1902,24.28,1000.01,23.2,48,04/03/25 14:12
1903,24.27,1000.01,23.2,48,04/03/25 14:12
1904,24.28,1000.03,23.2,48,04/03/25 14:12
